fare_id,price,currency_type,payment_method,transfers
6118,4.1,BRL,0,0
633VP1,12.6,BRL,0,0
5304PR2,5.2,BRL,0,0
054,8.0,BRL,0,0
260EX1,5.45,BRL,0,0
6115EX1,13.05,BRL,0,0
6220EX1,4.9,BRL,0,0
6219DV1,4.9,BRL,0,0
6116,6.45,BRL,0,0
313VP1,7.6,BRL,0,0
736VP1,5.25,BRL,0,0
860,6.55,BRL,0,0
409BI1,4.85,BRL,0,0
025BI1,5.35,BRL,0,0
964,4.9,BRL,0,0
033,5.65,BRL,0,0
968,4.9,BRL,0,0
6322EX1,3.9,BRL,0,0
6119,4.1,BRL,0,0
6340,8.85,BRL,0,0
19CELESTE,0.0,BRL,0,0
870,7.1,BRL,0,0
283VP1,5.2,BRL,0,0
466EX2,5.4,BRL,0,0
287UBUS,7.5,BRL,0,0
309,7.5,BRL,0,0
247EX1,5.7,BRL,0,0
466EX1,5.4,BRL,0,0
032,5.8,BRL,0,0
6316VP1,5.8,BRL,0,0
322,6.2,BRL,0,0
965,4.9,BRL,0,0
969,4.9,BRL,0,0
6213EX2,8.35,BRL,0,0
380,3.7,BRL,0,0
332VP1,4.5,BRL,0,0
6120,4.1,BRL,0,0
02Verde,0.0,BRL,0,0
386,7.75,BRL,0,0
533,5.4,BRL,0,0
6113,19.45,BRL,0,0
870EX1,5.7,BRL,0,0
455,5.4,BRL,0,0
6114,19.45,BRL,0,0
122,5.2,BRL,0,0
055,8.0,BRL,0,0
6339,8.1,BRL,0,0
246EX1,5.2,BRL,0,0
6108VP2,9.75,BRL,0,0
228,5.8,BRL,0,0
462,7.4,BRL,0,0
6105EX2,23.45,BRL,0,0
507,5.65,BRL,0,0
152DV1,6.8,BRL,0,0
277,8.6,BRL,0,0
970,5.5,BRL,0,0
151,4.8,BRL,0,0
6311EX1,4.5,BRL,0,0
258,39.9,BRL,0,0
361EX1,5.65,BRL,0,0
819EX1,7.25,BRL,0,0
047,4.8,BRL,0,0
345,5.7,BRL,0,0
350,6.9,BRL,0,0
417,5.2,BRL,0,0
419,7.6,BRL,0,0
421,5.2,BRL,0,0
350BI1,6.9,BRL,0,0
463,5.4,BRL,0,0
468,6.65,BRL,0,0
377,5.35,BRL,0,0
382EX1,6.75,BRL,0,0
758,5.4,BRL,0,0
165,7.4,BRL,0,0
498,5.4,BRL,0,0
559,5.4,BRL,0,0
063,7.6,BRL,0,0
824EX1,5.45,BRL,0,0
016,5.9,BRL,0,0
264,6.2,BRL,0,0
264BI1,5.8,BRL,0,0
316,39.9,BRL,0,0
530,7.8,BRL,0,0
673EX2,4.8,BRL,0,0
214,16.3,BRL,0,0
379,16.35,BRL,0,0
382,6.2,BRL,0,0
040,7.4,BRL,0,0
403,6.2,BRL,0,0
068,5.15,BRL,0,0
160EX1,6.75,BRL,0,0
158BI1,6.2,BRL,0,0
332,4.5,BRL,0,0
121,5.2,BRL,0,0
243DV1,20.3,BRL,0,0
537,7.05,BRL,0,0
841,5.15,BRL,0,0
253,5.4,BRL,0,0
526,5.35,BRL,0,0
563,4.4,BRL,0,0
011PR1,6.25,BRL,0,0
442,6.35,BRL,0,0
6105EX1,19.15,BRL,0,0
206,24.55,BRL,0,0
550,6.1,BRL,0,0
852,6.55,BRL,0,0
095,6.4,BRL,0,0
219,8.55,BRL,0,0
534,6.3,BRL,0,0
243,20.3,BRL,0,0
216,3.9,BRL,0,0
438,7.65,BRL,0,0
456,5.45,BRL,0,0
219BI1,7.95,BRL,0,0
105,5.1,BRL,0,0
163,5.1,BRL,0,0
405,5.35,BRL,0,0
903,4.9,BRL,0,0
936,5.5,BRL,0,0
103,5.1,BRL,0,0
470,8.35,BRL,0,0
942,4.9,BRL,0,0
452,4.8,BRL,0,0
943,4.9,BRL,0,0
591,5.4,BRL,0,0
027,4.8,BRL,0,0
673,4.8,BRL,0,0
478BI1,6.25,BRL,0,0
036,7.8,BRL,0,0
580,7.55,BRL,0,0
517,6.9,BRL,0,0
002,4.4,BRL,0,0
030,4.8,BRL,0,0
001,4.4,BRL,0,0
411,7.3,BRL,0,0
076,5.35,BRL,0,0
145,5.35,BRL,0,0
367,4.9,BRL,0,0
934EX1,4.9,BRL,0,0
522,7.55,BRL,0,0
541,5.4,BRL,0,0
932DV1,5.5,BRL,0,0
239,4.2,BRL,0,0
339,4.4,BRL,0,0
708BI2,5.4,BRL,0,0
340,4.4,BRL,0,0
565,8.1,BRL,0,0
139,5.9,BRL,0,0
252,6.8,BRL,0,0
948,4.9,BRL,0,0
622,4.85,BRL,0,0
624,4.75,BRL,0,0
629,4.75,BRL,0,0
911,5.5,BRL,0,0
551,4.4,BRL,0,0
6213EX1,6.1,BRL,0,0
156VP1,4.8,BRL,0,0
913,5.95,BRL,0,0
113,5.2,BRL,0,0
052,5.7,BRL,0,0
293,4.85,BRL,0,0
315,4.85,BRL,0,0
008,5.2,BRL,0,0
912,5.5,BRL,0,0
587,5.15,BRL,0,0
116,12.1,BRL,0,0
039,5.35,BRL,0,0
5107,5.75,BRL,0,0
171,4.8,BRL,0,0
362,6.25,BRL,0,0
496EX1,5.4,BRL,0,0
079,5.15,BRL,0,0
090,5.15,BRL,0,0
459,6.15,BRL,0,0
107,4.8,BRL,0,0
354,7.55,BRL,0,0
5220,4.2,BRL,0,0
928,4.25,BRL,0,0
182,4.8,BRL,0,0
5209,17.0,BRL,0,0
051,4.8,BRL,0,0
809,5.2,BRL,0,0
699BI1,5.25,BRL,0,0
633,18.55,BRL,0,0
933,5.35,BRL,0,0
359,5.7,BRL,0,0
636,5.4,BRL,0,0
6308,4.5,BRL,0,0
940,5.5,BRL,0,0
148EX1,4.8,BRL,0,0
302,5.35,BRL,0,0
358,4.8,BRL,0,0
947,4.9,BRL,0,0
937,4.25,BRL,0,0
632,4.75,BRL,0,0
635,12.85,BRL,0,0
6310,4.5,BRL,0,0
6111,18.2,BRL,0,0
324,5.4,BRL,0,0
653,5.95,BRL,0,0
231,6.2,BRL,0,0
231BI1,6.45,BRL,0,0
679,5.25,BRL,0,0
939,4.9,BRL,0,0
654,6.0,BRL,0,0
204,6.2,BRL,0,0
652,5.75,BRL,0,0
678,5.25,BRL,0,0
637,5.4,BRL,0,0
6311,4.5,BRL,0,0
727,5.45,BRL,0,0
6312,4.5,BRL,0,0
674,5.25,BRL,0,0
313,7.6,BRL,0,0
850EX1,6.2,BRL,0,0
840,6.2,BRL,0,0
399,6.45,BRL,0,0
915,5.7,BRL,0,0
827,12.1,BRL,0,0
439,6.75,BRL,0,0
291,6.55,BRL,0,0
919,4.9,BRL,0,0
925,4.9,BRL,0,0
520,7.55,BRL,0,0
5407VP2,5.2,BRL,0,0
249,5.4,BRL,0,0
698,5.25,BRL,0,0
094,5.1,BRL,0,0
660,5.4,BRL,0,0
011,6.25,BRL,0,0
944,4.9,BRL,0,0
655,5.95,BRL,0,0
250,5.4,BRL,0,0
657,5.4,BRL,0,0
100,5.45,BRL,0,0
663,5.4,BRL,0,0
697,5.25,BRL,0,0
584,6.05,BRL,0,0
934,4.9,BRL,0,0
699,5.25,BRL,0,0
578,5.4,BRL,0,0
694,5.25,BRL,0,0
704,5.25,BRL,0,0
573,5.4,BRL,0,0
695,5.25,BRL,0,0
702,5.25,BRL,0,0
585,6.25,BRL,0,0
675,5.25,BRL,0,0
676,4.95,BRL,0,0
677,4.9,BRL,0,0
688,5.4,BRL,0,0
686,5.4,BRL,0,0
508,5.65,BRL,0,0
705,5.25,BRL,0,0
708,5.4,BRL,0,0
836,4.1,BRL,0,0
473,7.55,BRL,0,0
101,4.8,BRL,0,0
689,5.25,BRL,0,0
724,5.45,BRL,0,0
709,5.4,BRL,0,0
509,4.95,BRL,0,0
157,4.8,BRL,0,0
636PR1,5.4,BRL,0,0
835,6.2,BRL,0,0
102,4.8,BRL,0,0
901BI1,4.9,BRL,0,0
521,7.55,BRL,0,0
167PR1,7.55,BRL,0,0
555,6.25,BRL,0,0
480,5.35,BRL,0,0
484,4.4,BRL,0,0
195,4.8,BRL,0,0
196,4.85,BRL,0,0
512,7.55,BRL,0,0
238,4.85,BRL,0,0
497,6.6,BRL,0,0
342DV1,7.55,BRL,0,0
366,4.85,BRL,0,0
703BI1,5.25,BRL,0,0
247,6.55,BRL,0,0
337BI1,6.25,BRL,0,0
738VP1,5.85,BRL,0,0
511,5.8,BRL,0,0
560,6.2,BRL,0,0
952,5.7,BRL,0,0
6115,13.05,BRL,0,0
329,6.55,BRL,0,0
478,6.25,BRL,0,0
538,6.5,BRL,0,0
600,6.7,BRL,0,0
390,5.45,BRL,0,0
617PR1,5.25,BRL,0,0
428,5.2,BRL,0,0
247VP2,6.2,BRL,0,0
351PR1,5.65,BRL,0,0
481,6.4,BRL,0,0
604,5.3,BRL,0,0
617DV1,5.25,BRL,0,0
604EX1,5.25,BRL,0,0
506,5.65,BRL,0,0
609,6.15,BRL,0,0
489,6.2,BRL,0,0
612DV1,7.7,BRL,0,0
197,7.65,BRL,0,0
606,7.35,BRL,0,0
349,5.1,BRL,0,0
408,7.55,BRL,0,0
342,7.55,BRL,0,0
608,6.0,BRL,0,0
396,6.7,BRL,0,0
490,5.15,BRL,0,0
494,5.2,BRL,0,0
492,5.45,BRL,0,0
607,6.85,BRL,0,0
617,5.25,BRL,0,0
686BI1,5.4,BRL,0,0
688BI1,5.4,BRL,0,0
173,5.2,BRL,0,0
493,5.75,BRL,0,0
140,4.8,BRL,0,0
615,11.35,BRL,0,0
292DV1,7.55,BRL,0,0
614,12.9,BRL,0,0
714,7.7,BRL,0,0
050,5.7,BRL,0,0
050EX1,5.7,BRL,0,0
446,4.8,BRL,0,0
454,5.25,BRL,0,0
572,5.2,BRL,0,0
949DV1,4.65,BRL,0,0
828,6.3,BRL,0,0
623,4.75,BRL,0,0
568,7.8,BRL,0,0
579,5.2,BRL,0,0
715,7.7,BRL,0,0
831,5.7,BRL,0,0
390BI1,5.45,BRL,0,0
6108EX3,24.15,BRL,0,0
719,5.25,BRL,0,0
838,12.65,BRL,0,0
261,8.0,BRL,0,0
311DV1,7.9,BRL,0,0
030BI1,4.8,BRL,0,0
038VP1,7.0,BRL,0,0
734,8.25,BRL,0,0
244,5.2,BRL,0,0
265,4.8,BRL,0,0
557,6.2,BRL,0,0
619,4.75,BRL,0,0
536,3.9,BRL,0,0
323,4.8,BRL,0,0
087,5.2,BRL,0,0
262,5.2,BRL,0,0
468BI1,6.65,BRL,0,0
120,6.45,BRL,0,0
190,5.65,BRL,0,0
628,4.85,BRL,0,0
211,6.2,BRL,0,0
193,4.4,BRL,0,0
625,4.75,BRL,0,0
089,5.15,BRL,0,0
627,4.85,BRL,0,0
241,5.15,BRL,0,0
191,5.15,BRL,0,0
042,7.0,BRL,0,0
