fare_id,route_id
6118,6118
633VP1,633VP1
5304PR2,5304PR2
054,054
260EX1,260EX1
6115EX1,6115EX1
6220EX1,6220EX1
6219DV1,6219DV1
6116,6116
313VP1,313VP1
736VP1,736VP1
860,860
409BI1,409BI1
025BI1,025BI1
964,964
033,033
968,968
6322EX1,6322EX1
6119,6119
6340,6340
19CELESTE,19CELESTE
870,870
283VP1,283VP1
466EX2,466EX2
287UBUS,287UBUS
309,309
247EX1,247EX1
466EX1,466EX1
032,032
6316VP1,6316VP1
322,322
965,965
969,969
6213EX2,6213EX2
380,380
332VP1,332VP1
6120,6120
02Verde,02Verde
386,386
533,533
6113,6113
870EX1,870EX1
455,455
6114,6114
122,122
055,055
6339,6339
246EX1,246EX1
6108VP2,6108VP2
228,228
462,462
6105EX2,6105EX2
507,507
152DV1,152DV1
277,277
970,970
151,151
6311EX1,6311EX1
258,258
361EX1,361EX1
819EX1,819EX1
047,047
345,345
350,350
417,417
419,419
421,421
350BI1,350BI1
463,463
468,468
377,377
382EX1,382EX1
758,758
165,165
498,498
559,559
063,063
824EX1,824EX1
016,016
264,264
264BI1,264BI1
316,316
530,530
673EX2,673EX2
214,214
379,379
382,382
040,040
403,403
068,068
160EX1,160EX1
158BI1,158BI1
332,332
121,121
243DV1,243DV1
537,537
841,841
253,253
526,526
563,563
011PR1,011PR1
442,442
6105EX1,6105EX1
206,206
550,550
852,852
095,095
219,219
534,534
243,243
216,216
438,438
456,456
219BI1,219BI1
105,105
163,163
405,405
903,903
936,936
103,103
470,470
942,942
452,452
943,943
591,591
027,027
673,673
478BI1,478BI1
036,036
580,580
517,517
002,002
030,030
001,001
411,411
076,076
145,145
367,367
934EX1,934EX1
522,522
541,541
932DV1,932DV1
239,239
339,339
708BI2,708BI2
340,340
565,565
139,139
252,252
948,948
622,622
624,624
629,629
911,911
551,551
6213EX1,6213EX1
156VP1,156VP1
913,913
113,113
052,052
293,293
315,315
008,008
912,912
587,587
116,116
039,039
5107,5107
171,171
362,362
496EX1,496EX1
079,079
090,090
459,459
107,107
354,354
5220,5220
928,928
182,182
5209,5209
051,051
809,809
699BI1,699BI1
633,633
933,933
359,359
636,636
6308,6308
940,940
148EX1,148EX1
302,302
358,358
947,947
937,937
632,632
635,635
6310,6310
6111,6111
324,324
653,653
231,231
231BI1,231BI1
679,679
939,939
654,654
204,204
652,652
678,678
637,637
6311,6311
727,727
6312,6312
674,674
313,313
850EX1,850EX1
840,840
399,399
915,915
827,827
439,439
291,291
919,919
925,925
520,520
5407VP2,5407VP2
249,249
698,698
094,094
660,660
011,011
944,944
655,655
250,250
657,657
100,100
663,663
697,697
584,584
934,934
699,699
578,578
694,694
704,704
573,573
695,695
702,702
585,585
675,675
676,676
677,677
688,688
686,686
508,508
705,705
708,708
836,836
473,473
101,101
689,689
724,724
709,709
509,509
157,157
636PR1,636PR1
835,835
102,102
901BI1,901BI1
521,521
167PR1,167PR1
555,555
480,480
484,484
195,195
196,196
512,512
238,238
497,497
342DV1,342DV1
366,366
703BI1,703BI1
247,247
337BI1,337BI1
738VP1,738VP1
511,511
560,560
952,952
6115,6115
329,329
478,478
538,538
600,600
390,390
617PR1,617PR1
428,428
247VP2,247VP2
351PR1,351PR1
481,481
604,604
617DV1,617DV1
604EX1,604EX1
506,506
609,609
489,489
612DV1,612DV1
197,197
606,606
349,349
408,408
342,342
608,608
396,396
490,490
494,494
492,492
607,607
617,617
686BI1,686BI1
688BI1,688BI1
173,173
493,493
140,140
615,615
292DV1,292DV1
614,614
714,714
050,050
050EX1,050EX1
446,446
454,454
572,572
949DV1,949DV1
828,828
623,623
568,568
579,579
715,715
831,831
390BI1,390BI1
6108EX3,6108EX3
719,719
838,838
261,261
311DV1,311DV1
030BI1,030BI1
038VP1,038VP1
734,734
244,244
265,265
557,557
619,619
536,536
323,323
087,087
262,262
468BI1,468BI1
120,120
190,190
628,628
211,211
193,193
625,625
089,089
627,627
241,241
191,191
042,042
279,279
300,300
374,374
336,336
639,639
638,638
117,117
644,644
647,647
651,651
5210,5210
156,156
381,381
215,215
402,402
066,066
307,307
5209DV1,5209DV1
842,842
034,034
451,451
341DV1,341DV1
