stop_id,stop_name,stop_lat,stop_lon
80,Av Visconde De Cairu 252 - Jardim Silvina Sao Bernardo do Campo - SP 09791-100 Brasil,-23.738543,-46.535914
59,Estr. do Montanhao 180 - Ferrazopolis Sao Bernardo do Campo - SP 09791-250 Brasil,-23.738832,-46.529806
76,Estrada do Montanhao 611,-23.739216,-46.526327
36,Av. Getulio Vargas 373 - Baeta Neves Sao Bernardo do Campo - SP 09751-250 Brasil,-23.695088,-46.545909
66,Av Pedro Mendes - Montanhao Sao Bernardo do Campo - SP 09791-490 Brasil,-23.742984,-46.531542
57,Av. Gen. Barreto de Menezes 550 - Ferrazopolis Sao Bernardo do Campo - SP 09791-100 Brasil,-23.737559,-46.533644
77,Estrada do Montanhao 181,-23.738624,-46.529663
75,Estr. do Montanhao 38 - Montanhao Sao Bernardo do Campo - SP 09791-250 Brasil,-23.740852,-46.524556
55,R. Rolim de Moura 446 - Ferrazopolis Sao Bernardo do Campo - SP 09791-050 Brasil,-23.739945,-46.536453
81,Rua Rolim de Moura 125 - Jardim Silvina Sao Bernardo do Campo - SP 09791-050 Brasil,-23.739182,-46.537282
61,Estrada do Montanhao 850,-23.740939,-46.524705
4,Av. Rangel Pestana 252 - Jardim Cristiane Santo Andre - SP 09185-220 Brasil,-23.684318,-46.527843
24,Av. Taioca 2737 - Jardim Las Vegas Santo Andre - SP 09182-400 Brasil,-23.700951,-46.531618
14,Rua Prof. Antonio Seixas Leite Ribeiro 24 - Jardim Alvorada Santo Andre - SP 09180-110 Brasil,-23.702198,-46.52237
56,Av Visconde De Cairu 324 - Jardim Silvina Sao Bernardo do Campo - SP 09791-090 Brasil,-23.738842,-46.535865
50,Av. Dr. Jose Fornari 815 - Ferrazopolis Sao Bernardo do Campo - SP 09790-400 Brasil,-23.731664,-46.545389
6,Av. Rangel Pestana 600 - Jardim Cristiane Santo Andre - SP 09185-220 Brasil,-23.686808,-46.528423
54,Rua Dom Fernando Mascarenhas 100,-23.737484,-46.53746
78,Avenida General Barreto de Menezes 947,-23.738666,-46.531842
3,Rua Juquia 636 - Jardim Jamaica Santo Andre - SP 09185-220 Brasil,-23.68229,-46.529803
8,Avenida Rangel Pestana 3060,-23.688782,-46.531374
91109,Avenida Joao Paulo Ablas 1775,-23.612414,-46.838815
53,R. Afonso Furtado de Mendonca 208 - Jardim Silvina Sao Bernardo do Campo - SP 09791-000 Brasil,-23.736391,-46.537374
23,Rua Leonardo Fioravanti 217 - Jardim Las Vegas Santo Andre - SP 09182-470 Brasil,-23.699668,-46.528938
63,Av. Pedro Mendes 700 - Montanhao Sao Bernardo do Campo - SP 09791-490 Brasil,-23.74576,-46.527571
2, Rua Oswaldo Cruz 74,-23.680857,-46.533777
64,R. Sem Denominacao 922 - Montanhao Sao Bernardo do Campo - SP 09791-405 Brasil,-23.747547,-46.529247
9,Rua Saldanha da Gama 34,-23.690754,-46.530454
7,Avenida Rangel Pestana 814,-23.688108,-46.530024
29,R. Giacinto Tognato 1097 - Jardim Las Vegas Sao Bernardo do Campo - SP 09760-372 Brasil,-23.69737,-46.540281
10,Rua Saldanha da Gama 87 - Jardim Moncoes Santo Andre - SP 09180-290 Brasil,-23.691871,-46.529179
11,Rua Joanopolis 480,-23.696019,-46.525713
21,Rua Otavio Candido 465,-23.696503,-46.528146
31,Rua Giacinto Tognato 625 - Baeta Neves Sao Bernardo do Campo - SP 09751-400 Brasil,-23.693529,-46.540832
48,Avel - Jardim Silvina Sao Bernardo do Campo - SP 09790-400 Brasil,-23.726198,-46.549289
34,Av. Getulio Vargas 941 - Baeta Neves Sao Bernardo do Campo - SP 09751-250 Brasil,-23.691997,-46.544557
58,Av Gen Barreto de Menezes 884 - Jardim Silvina Sao Bernardo do Campo - SP 09791-000 Brasil,-23.73851,-46.53226
30,Rua Giacinto Tognato 819 - Baeta Neves Sao Bernardo do Campo - SP 09751-440 Brasil,-23.695485,-46.540534
26,Rua Giacinto Tognato 1767 - Baeta Neves Sao Bernardo do Campo - SP 09760-372 Brasil,-23.701355,-46.536131
82,Rua Dom Vasco Mascarenhas 117,-23.73678,-46.536488
25,Rua Belarminio Francisco Vasconcelos 442 - Baeta Neves Sao Bernardo do Campo - SP 14090-122 Brasil,-23.700899,-46.53475
79,Avenida General Barreto de Menezes 715,-23.737638,-46.533158
44842,Estrada Santa Ines 150,-23.374204,-46.660643
137,Parada Metropolitana Estela,-23.680991,-46.541187
138,Parada Metropolitana Gilda,-23.67645,-46.536669
140,Parada Metropolitana Santa Tereza ,-23.667505,-46.532316
142,Parada Metropolitana IV Centenario,-23.655493,-46.531358
162,Parada Metropolitana Faccini,-23.656368,-46.636396
128,Parada Metropolitana Cooperativas,-23.715116,-46.551742
157,Parada Metropolitana Santa Adelia,-23.620995,-46.478388
169,Terminal Metropolitano Diadema ,-23.684261,-46.626724
167,Parada Metropolitana Divisa,-23.673778,-46.630955
163,Parada Metropolitana Americanopolis,-23.661466,-46.637402
168,Parada Metropolitana Assembleia,-23.67746,-46.627579
